day_index,election_date,tpp_alp,tpp_lnc,seats_alp,seats_lnc
NA,1919-12-13,0.459,0.541,26,37
NA,1922-12-16,0.488,0.512,29,40
NA,1925-11-14,0.462,0.538,23,50
NA,1928-11-17,0.484,0.516,31,42
NA,1929-10-12,0.567,0.433,46,24
NA,1931-12-19,0.415,0.585,14,50
NA,1934-09-15,0.465,0.535,18,42
NA,1937-10-23,0.494,0.506,29,43
NA,1940-09-21,0.503,0.497,32,36
NA,1943-08-21,0.582,0.418,49,19
NA,1946-09-28,0.541,0.459,43,26
NA,1949-12-10,0.49,0.51,47,74
NA,1951-04-28,0.493,0.507,52,69
NA,1954-05-29,0.507,0.493,57,64
NA,1955-12-10,0.458,0.542,47,75
NA,1958-11-22,0.459,0.541,45,77
NA,1961-12-09,0.505,0.495,60,62
NA,1963-11-30,0.474,0.526,50,72
NA,1966-11-26,0.431,0.569,41,82
NA,1969-10-25,0.502,0.498,59,66
NA,1972-12-02,0.527,0.473,67,58
NA,1974-05-18,0.517,0.483,66,61
NA,1975-12-13,0.443,0.557,36,91
NA,1977-12-10,0.454,0.546,38,86
NA,1980-10-18,0.496,0.504,51,74
NA,1983-03-05,0.532,0.468,75,50
NA,1984-12-01,0.518,0.482,82,66
NA,1987-07-11,0.508,0.492,86,62
NA,1990-03-24,0.499,0.501,78,69
NA,1993-03-13,0.514,0.486,80,65
NA,1996-03-02,0.464,0.536,49,94
NA,1998-10-03,0.51,0.49,67,80
NA,2001-11-10,0.49,0.51,65,82
91,2004-10-09,0.473,0.527,60,87
1232,2007-11-24,0.527,0.473,83,65
2233,2010-08-21,0.501,0.499,72,72
3346,2013-09-07,0.465,0.535,55,90
4375,2016-07-02,0.496,0.504,69,76
